compound, mp-id, spacegroup, mineral-prototype
SrHfO3,mp-13108,P4mm,(Cubic) Perovskite
SrHfO3,mp-13109,Imma,Orthorhombic Perovskite
SrHfO3,mp-3378,Pnma,Orthorhombic Perovskite
SrHfO3,mp-3721,I4/mcm,None
SrHfO3,mp-4551,Pm-3m,(Cubic) Perovskite
SrHfO3,mp-4673,Cmcm,Orthorhombic Perovskite
SrHfO3,mp-550908,P4/mbm,None
TeCF3,mp-29429,P2_1/c,Cubic alpha N2
NaPO3,mp-4734,P2_1/c,None
NaPO3,mp-555118,Pnma,None
NaPO3,mp-558192,P2_1/c,None
NaPO3,mp-648053,I4_1/a,None
NaPO3,mp-648072,I4_1/a,None
NaPO3,mp-864891,P-1,None
MgSiO3,mp-1020115,Pc,None
MgSiO3,mp-1020117,Pc,None
MgSiO3,mp-1020118,Pca2_1,None
MgSiO3,mp-1020123,P2/c,None
MgSiO3,mp-1020124,P2_1/c,None
MgSiO3,mp-1020125,Pca2_1,None
MgSiO3,mp-3470,P2_1/c,None
MgSiO3,mp-3547,Pnma,Orthorhombic Perovskite
MgSiO3,mp-4321,C2/c,None
MgSiO3,mp-4391,Cmcm,None
MgSiO3,mp-5026,Pbcn,None
MgSiO3,mp-554137,P2_1/c,None
MgSiO3,mp-556940,Pbca,None
MgSiO3,mp-557803,Pna2_1,None
MgSiO3,mp-5834,Pbca,None
MgSiO3,mp-5924,R-3,Ilmenite
MgSiO3,mp-603907,C2/c,None
MgSiO3,mp-603930,C2/c,None
MgSiO3,mp-642209,Pna2_1,None
MgSiO3,mp-642210,Pna2_1,None
MgSiO3,mp-642216,P2_1/c,None
MgSiO3,mp-642228,Pbca,None
MgSiO3,mp-644879,Pbcn,None
MgSiO3,mp-657336,Pna2_1,None
MgSiO3,mp-657338,Pbca,None
CsAuBr3,mp-569548,I4/mmm,None
CsMgF3,mp-8401,Pm-3m,(Cubic) Perovskite
BaTiO3,mp-1076932,Amm2,None
BaTiO3,mp-19990,P4/mmm,None
BaTiO3,mp-2998,Pm-3m,(Cubic) Perovskite
BaTiO3,mp-5020,R3m,(Cubic) Perovskite
BaTiO3,mp-558125,C222_1,None
BaTiO3,mp-5777,Amm2,(Cubic) Perovskite
