compound, Ehull (eV/atom)
CsMgF3, 0.00891
MnNCl3, 1.30489
HfPbO3, 0.04046
SrRhO3, 0.04022
CrPbO3, 0.4941
TiCdO3, 0.16621
CsPbI3, 0.00614
ZnAgF3, 0.05386
SrAlH3, 0.31321
NaBeH3, 0.05735
CsCdBr3, 0.0069
SnCCl3, 1.42885
RbGeI3, 0.01321
SrSiO3, 0.07467
BaIrO3, 0.00615
CsHgBr3, 0.00978
NaMgF3, 0.0147
TlIO3, 0.15474
NbAgO3, 0.07076
CaSiO3, 0.07943
CsCaH3, 0.00978
VPbO3, 0.06597
MnTlCl3, 0.01422
CaZrO3, 0.13228
SrCoO3, 0.02765
CaMnO3, 0.00147
NiNF3, 1.63697
InBiO3, 0.19874
MnNF3, 1.79266
AlBiO3, 0.01397
RbPbF3, 0.01447
CsFeF3, 0.5432
GaBiO3, 0.05387
BaLiF3, 0.02203
CsBeF3, 0.52386
KFeF3, 0.47423
LiCaF3, 0.18734
KCaF3, 0.00822
CsIO3, 0.0828
CsSrF3, 0.00444
RbCaH3, 0.01804
CuNF3, 0.85798
CaSnO3, 0.10284
GePbO3, 0.12367
TaSnO3, 0.30158
TiSnO3, 0.15634
RbFeF3, 0.31581
NaVF3, 0.07776
