Compound, Structure-Type,GGA-bandgap (eV),  Ehull (eV/atom)
Ag2BaGeS4, OR-1, 1.2178, -0.04252
Ag2BaGeSe4, OR-1, 0.7157, -0.02974
Ag2BaGeTe4, OR-2, 0.717, -0.01526
Ag2BaSiS4, OR-1, 1.2251, -0.037
Ag2BaSiSe4, OR-1, 1.0479, -0.03793
Ag2BaSiTe4, OR-2, 1.1601, -0.04966
Ag2BaSnS4, OR-1, 0.918, -0.04849
Ag2BaSnSe4, OR-1, 0.6548, -0.02975
Ag2BaSnTe4, OR-2, 0.7348, -0.00335
Ag2BaTiS4, TG, 1.5575, -0.01082
Ag2BaTiSe4, TG, 1.3128, -0.00184
Ag2BeGeS4, KS, 1.9191, 0.0042
Ag2BeGeSe4, KS, 1.3236, 0.00254
Ag2BeGeTe4, KS, 0.7145, -0.0163
Ag2BeSiS4, KS, 2.6789, 0.00739
Ag2BeSiSe4, KS, 2.0931, -0.00015
Ag2BeSiTe4, KS, 1.3298, -0.03973
Ag2BeSnS4, KS, 1.5215, -0.00671
Ag2BeSnSe4, KS, 1.2287, 0.00587
Ag2BeSnTe4, KS, 0.7751, -0.01029
Ag2CaSiTe4, OR-2, 0.9445, 0.00499
Ag2CdGeS4, WKS, 0.8029, -0.010250000000000035
Ag2CdGeSe4, KS, 1.0172, -0.011219999999999812
Ag2CdGeTe4, KS, 0.6392, -0.01868
Ag2CdSiS4, WKS, 1.3247, -0.01857
Ag2CdSiSe4, WKS, 0.6612, -0.01826
Ag2CdSiTe4, KS, 1.2351, -0.04446
Ag2CdSnS4, KS, 1.21, -0.02613
Ag2CdSnSe4, KS, 0.9215, -0.0123
Ag2CdSnTe4, KS, 0.6819, -0.01908
Ag2CuGeS4, KS, 0.0, -0.0017600000000005983
Ag2CuGeSe4, KS, 0.0, -0.002909999999999833
Ag2CuGeTe4, KS, 0.0, -0.01683000000000011
Ag2CuSiS4, KS, 0.0, 0.00682
Ag2CuSiSe4, KS, 0.0, -0.01169
Ag2CuSiTe4, KS, 0.0, -0.03278
